product_name,vendor,type,version,vulns
asyncos,Cisco,router,xx,1
ata_190_firmware,Cisco,router,xx,1
ip_conference_phone_7832_firmware,Cisco,router,xx,1
business_220-8t-e-2g_firmware,Cisco,router,xx,1
anyconnect_secure_mobility_client,Cisco,router,xx,1
aironet_access_point_software,Cisco,router,xx,1
ios,Cisco,router,xx,1
ios_xe,Cisco,router,xx,1
ios_xe_sd-wan,Cisco,router,xx,1
fxos,Cisco,router,xx,1
embedded_wireless_controller,Cisco,router,xx,1
aironet_1542d_firmware,Cisco,router,xx,1
rv016_firmware,Cisco,router,xx,1
ios_xr,Cisco,router,xx,1
nx-os,Cisco,router,xx,1
firepower_threat_defense,Cisco,router,xx,1
staros,Cisco,router,xx,1
5508_wireless_controller_firmware,Cisco,router,xx,1
dpc3939_firmware,Cisco,router,xx,1
webex_teams,Cisco,router,xx,1
unified_computing_system,Cisco,router,xx,1
vsmart_controller_firmware,Cisco,router,xx,1
rv110w_wireless-n_vpn_firewall_firmware,Cisco,router,xx,1
asa_5505_firmware,Cisco,router,xx,1
ip_phone_8865_firmware,Cisco,router,xx,1
small_business_rv_series_router_firmware,Cisco,router,xx,1
rv340w_firmware,Cisco,router,xx,1
adaptive_security_appliance,Cisco,router,xx,1
sg250x-24_firmware,Cisco,router,xx,1
rv340_dual_wan_gigabit_vpn_router_firmware,Cisco,router,xx,1
unified_ip_phone_6901_firmware,Cisco,router,xx,1
adaptive_security_appliance_software,Cisco,router,xx,1
video_surveillance_7530pd_firmware,Cisco,router,xx,1
rv340_firmware,Cisco,router,xx,1
wap125_firmware,Cisco,router,xx,1
video_surveillance_8400_firmware,Cisco,router,xx,1
content_security_management_appliance,Cisco,router,xx,1
vedge_100_firmware,Cisco,router,xx,1
firepower_device_manager,Cisco,router,xx,1
rv160_firmware,Cisco,router,xx,1
rv110w_firmware,Cisco,router,xx,1
wireless_lan_controller,Cisco,router,xx,1
wireless_lan_controller_software,Cisco,router,xx,1
rv132w_firmware,Cisco,router,xx,1
ios_xe_rom_monitor,Cisco,router,xx,1
rv160w_wireless-ac_vpn_router_firmware,Cisco,router,xx,1
rv016_multi-wan_vpn_router_firmware,Cisco,router,xx,1
sd-wan_firmware,Cisco,router,xx,1
video_surveillance_8000p_ip_camera_firmware,Cisco,router,xx,1
a9k-rsp880-se_firmware,Cisco,router,xx,1
ip_dect_210_firmware,Cisco,router,xx,1
firepower_extensible_operating_system,Cisco,router,xx,1
small_business_500_series_stackable_managed_switches_firmware,Cisco,router,xx,1
8000p_ip_camera_firmware,Cisco,router,xx,1
ios_xr_firmware,Cisco,router,xx,1
sf302-08pp_firmware,Cisco,router,xx,1
sf200-24_firmware,Cisco,router,xx,1
spa501g_firmware,Cisco,router,xx,1
aironet_3700e_firmware,Cisco,router,xx,1
asa_5506-x_firmware,Cisco,router,xx,1
remote_phy_120_firmware,Cisco,router,xx,1
integrated_management_controller_supervisor,Cisco,router,xx,1
application_policy_infrastructure_controller,Cisco,router,xx,1
sg200-50_firmware,Cisco,router,xx,1
nexus_9000_series_application_centric_infrastructure,Cisco,router,xx,1
5520_wireless_lan_controller_firmware,Cisco,router,xx,1
spa112_firmware,Cisco,router,xx,1
spa500_series_ip_phones_firmware,Cisco,router,xx,1
industrial_ethernet_2000_series_firmware,Cisco,router,xx,1
firepower_9300_firmware,Cisco,router,xx,1
ic3000_industrial_compute_gateway_firmware,Cisco,router,xx,1
rv016_multi-wan_vpn_firmware,Cisco,router,xx,1
roomos,Cisco,router,xx,1
rv320_firmware,Cisco,router,xx,1
ex60_firmware,Cisco,router,xx,1
asr_5000_firmware,Cisco,router,xx,1
sf250-24_firmware,Cisco,router,xx,1
vedge-100_firmware,Cisco,router,xx,1
aironet_1542i_firmware,Cisco,router,xx,1
ip_phone,Cisco,router,xx,1
ucs_manager,Cisco,router,xx,1
linksys_e4200_firmware,Cisco,router,xx,1
video_surveillance_8400_ip_camera_firmware,Cisco,router,xx,1
aironet_1540_firmware,Cisco,router,xx,1
aironet_1810_firmware,Cisco,router,xx,1
spa122_firmware,Cisco,router,xx,1
hyperflex_hx220c_m5_firmware,Cisco,router,xx,1
spa112_2-port_phone_adapter_firmware,Cisco,router,xx,1
unified_computing_system_server_firmware,Cisco,router,xx,1
aironet_access_point_firmware,Cisco,router,xx,1
ns-ox,Cisco,router,xx,1
ip_phone_8821_firmware,Cisco,router,xx,1
firepower_9000_firmware,Cisco,router,xx,1
cloud_services_router_1000v_firmware,Cisco,router,xx,1
skinny_client_control_protocol_software,Cisco,router,xx,1
cloud_services_platform_2100_firmware,Cisco,router,xx,1
ip_phone_8800_series_firmware,Cisco,router,xx,1
wap121_firmware,Cisco,router,xx,1
sf300-08_firmware,Cisco,router,xx,1
rv180w_firmware,Cisco,router,xx,1
spa514g_firmware,Cisco,router,xx,1
5400_enterprise_network_compute_system_firmware,Cisco,router,xx,1
unified_ip_phone_firmware,Cisco,router,xx,1
nexus_7000_firmware,Cisco,router,xx,1
d9800_firmware,Cisco,router,xx,1
wap361_firmware,Cisco,router,xx,1
industrial_ethernet_4010_series_firmware,Cisco,router,xx,1
yesmax_hd_firmware,Cisco,router,xx,1
rf_gateway_1_firmware,Cisco,router,xx,1
aironet_3800_firmware,Cisco,router,xx,1
aironet_1800_firmware,Cisco,router,xx,1
aironet_ap_firmware,Cisco,router,xx,1
aironet_1562_firmware,Cisco,router,xx,1
spa_501g_firmware,Cisco,router,xx,1
small_business_ip_phone_firmware,Cisco,router,xx,1
ir800_integrated_services_router_firmware,Cisco,router,xx,1
spa_301_firmware,Cisco,router,xx,1
asr_5500_firmware,Cisco,router,xx,1
residential_gateway_firmware,Cisco,router,xx,1
netflow_generation_appliance_software,Cisco,router,xx,1
dpc3928sl_firmware,Cisco,router,xx,1
asr_900_series_firmware,Cisco,router,xx,1
asr_5000_software,Cisco,router,xx,1
webex_meetings_online,Cisco,router,xx,1
sf-220-24_firmware,Cisco,router,xx,1
epc3928_firmware,Cisco,router,xx,1
small_business_sa520_firmware,Cisco,router,xx,1
asr_5000,Cisco,router,xx,1
network_convergence_system_6000,Cisco,router,xx,1
rv130w_firmware,Cisco,router,xx,1
rv215w_wireless-n_vpn_router,Cisco,router,xx,1
small_business_rv340_firmware,Cisco,router,xx,1
rv180_vpn_router_firmware,Cisco,router,xx,1
aironet,Cisco,router,xx,1
spa500_series_ip_phone_firmware,Cisco,router,xx,1
telepresence_mcu_software,Cisco,router,xx,1
small_business_rv_router_firmware,Cisco,router,xx,1
industrial_ethernet_1000_series_firmware,Cisco,router,xx,1
aironet_1830i,Cisco,router,xx,1
wrv200_wireless-g_vpn_router_-_rangebooster,Cisco,router,xx,1
nexus_92160yc-x,Cisco,router,xx,1
telepresence_server_software,Cisco,router,xx,1
dpc2203,Cisco,router,xx,1
dpc3939_wireless_residential_voice_gateway,Cisco,router,xx,1
asa_5500_csc-ssm_firmware,Cisco,router,xx,1
web_security_appliance,Cisco,router,xx,1
rv130w_wireless-n_multifunction_vpn_router,Cisco,router,xx,1
clamav,Cisco,router,xx,1
500_series_switch_firmware,Cisco,router,xx,1
300_series_managed_switch_firmware,Cisco,router,xx,1
