cve,cwe
CVE-2021-1534,NVD-CWE-noinfo
CVE-2021-34698,CWE-401
CVE-2021-34710,CWE-77
CVE-2021-34711,CWE-22
CVE-2021-34735,CWE-77
CVE-2021-34776,CWE-120
CVE-2021-34777,CWE-120
CVE-2021-34775,CWE-120
CVE-2021-34778,CWE-120
CVE-2021-34779,CWE-120
CVE-2021-34780,CWE-120
CVE-2021-34788,CWE-367
CVE-2021-34740,CWE-401
CVE-2021-1620,CWE-772
CVE-2021-34769,CWE-415
CVE-2021-34727,CWE-120
CVE-2021-34725,CWE-77
CVE-2021-34770,CWE-787
CVE-2021-34768,CWE-415
CVE-2021-34714,CWE-20
CVE-2021-34724,NVD-CWE-Other
CVE-2021-34767,CWE-670
CVE-2020-3479,CWE-400
CVE-2020-3423,CWE-119
CVE-2020-3428,CWE-400
CVE-2021-1611,CWE-400
CVE-2021-34703,CWE-665
CVE-2021-1565,CWE-415
CVE-2016-1399,CWE-399
CVE-2021-1621,CWE-400
CVE-2021-1623,CWE-400
CVE-2021-1624,CWE-400
CVE-2021-34696,NVD-CWE-Other
CVE-2019-12657,CWE-20
CVE-2018-0315,CWE-119
CVE-2018-0177,NVD-CWE-noinfo
CVE-2019-1904,CWE-352
CVE-2021-1622,CWE-667
CVE-2021-1615,CWE-400
CVE-2021-1419,CWE-269
CVE-2020-3286,CWE-787
CVE-2021-34737,CWE-476
CVE-2021-34720,CWE-400
CVE-2021-34709,CWE-347
CVE-2021-34708,CWE-347
CVE-2021-1584,CWE-78
CVE-2021-34722,CWE-78
CVE-2021-34721,CWE-78
CVE-2020-3283,CWE-787
CVE-2020-3244,CWE-20
CVE-2020-3235,CWE-20
CVE-2020-3228,CWE-20
CVE-2020-3221,CWE-20
CVE-2020-3217,CWE-20
CVE-2020-3262,CWE-20
CVE-2017-9521,NVD-CWE-noinfo
CVE-2017-9492,CWE-200
CVE-2017-9491,CWE-200
CVE-2017-9476,CWE-200
CVE-2021-1450,CWE-20
CVE-2018-0387,CWE-20
CVE-2021-1592,CWE-770
CVE-2021-1591,CWE-287
CVE-2021-1590,NVD-CWE-noinfo
CVE-2021-1588,CWE-20
CVE-2021-1588,CWE-125
CVE-2021-1587,CWE-436
CVE-2021-1586,CWE-345
CVE-2021-1523,CWE-772
CVE-2021-1513,CWE-20
CVE-2021-1514,CWE-77
CVE-2021-34730,CWE-20
CVE-2020-3191,CWE-20
CVE-2020-3195,CWE-401
CVE-2020-3161,CWE-20
CVE-2020-3188,CWE-613
CVE-2020-3189,CWE-401
CVE-2021-1610,NVD-CWE-noinfo
CVE-2021-1609,NVD-CWE-noinfo
CVE-2021-1602,CWE-20
CVE-2021-1602,CWE-78
CVE-2020-3453,CWE-20
CVE-2020-3465,NVD-CWE-noinfo
CVE-2020-3426,CWE-20
CVE-2020-3429,CWE-20
CVE-2020-3452,CWE-20
CVE-2020-3451,CWE-20
CVE-2020-3390,CWE-20
CVE-2020-3393,CWE-20
CVE-2020-3397,CWE-20
CVE-2020-3398,CWE-20
CVE-2020-3363,CWE-20
CVE-2020-3368,CWE-20
CVE-2020-3357,CWE-20
CVE-2020-3358,CWE-20
CVE-2020-3359,CWE-20
CVE-2020-3360,CWE-863
CVE-2020-3287,CWE-787
CVE-2020-3288,CWE-787
CVE-2020-3289,CWE-787
CVE-2020-3290,CWE-787
CVE-2020-3291,CWE-787
CVE-2020-3292,CWE-787
CVE-2020-3293,CWE-787
CVE-2020-3294,CWE-787
CVE-2020-3295,CWE-787
CVE-2020-3296,CWE-787
CVE-2020-3323,CWE-20
CVE-2020-3338,CWE-755
CVE-2021-1422,CWE-617
CVE-2021-1373,CWE-126
CVE-2021-1598,CWE-401
CVE-2021-1597,CWE-401
CVE-2021-1596,CWE-401
CVE-2021-1595,CWE-401
CVE-2021-1564,CWE-400
CVE-2021-1563,CWE-400
CVE-2021-1539,CWE-863
CVE-2021-1540,CWE-863
CVE-2021-1414,CWE-502
CVE-2021-1413,CWE-502
CVE-2021-1415,CWE-502
CVE-2021-1548,CWE-77
CVE-2021-1549,CWE-77
CVE-2021-1552,CWE-77
CVE-2021-1551,CWE-77
CVE-2021-1550,CWE-77
CVE-2021-1555,CWE-77
CVE-2021-1554,CWE-77
CVE-2021-1553,CWE-77
CVE-2021-1547,CWE-77
CVE-2021-1521,CWE-119
CVE-2021-1401,CWE-269
CVE-2021-1400,CWE-269
CVE-2021-1516,CWE-540
CVE-2021-1511,CWE-119
CVE-2021-1510,CWE-119
CVE-2021-1509,CWE-119
CVE-2021-1402,CWE-119
CVE-2021-1488,CWE-77
CVE-2021-1448,CWE-20
CVE-2021-1489,CWE-400
CVE-2021-1495,CWE-755
CVE-2021-1473,CWE-119
CVE-2021-1472,CWE-119
CVE-2021-1459,CWE-119
CVE-2017-3832,CWE-755
CVE-2020-3552,CWE-476
CVE-2020-3560,CWE-400
CVE-2021-1308,CWE-119
CVE-2021-1251,CWE-119
CVE-2021-1309,CWE-119
CVE-2021-1451,CWE-119
CVE-2021-1437,CWE-275
CVE-2021-1439,CWE-120
CVE-2021-1449,CWE-284
CVE-2021-1452,CWE-78
CVE-2021-1460,CWE-400
CVE-2021-1287,CWE-121
CVE-2021-1367,CWE-20
CVE-2021-1230,NVD-CWE-Other
CVE-2021-1228,CWE-284
CVE-2021-1368,CWE-787
CVE-2021-1229,CWE-401
CVE-2021-1387,CWE-401
CVE-2021-1268,CWE-1076
CVE-2021-1389,CWE-284
CVE-2021-1136,CWE-347
CVE-2021-1244,CWE-347
CVE-2021-1295,CWE-472
CVE-2021-1294,CWE-472
CVE-2021-1293,CWE-472
CVE-2021-1292,CWE-472
CVE-2021-1291,CWE-472
CVE-2021-1290,CWE-472
CVE-2021-1289,CWE-472
CVE-2021-1297,CWE-36
CVE-2021-1296,CWE-36
CVE-2021-1314,CWE-77
CVE-2021-1315,CWE-77
CVE-2021-1316,CWE-77
CVE-2021-1317,CWE-77
CVE-2021-1318,CWE-77
CVE-2021-1320,CWE-121
CVE-2021-1329,CWE-121
CVE-2021-1328,CWE-121
CVE-2021-1325,CWE-121
CVE-2021-1326,CWE-121
CVE-2021-1327,CWE-121
CVE-2021-1324,CWE-121
CVE-2021-1323,CWE-121
CVE-2021-1322,CWE-121
CVE-2021-1321,CWE-121
CVE-2021-1319,CWE-121
CVE-2021-1338,CWE-121
CVE-2021-1339,CWE-121
CVE-2021-1340,CWE-121
CVE-2021-1341,CWE-121
CVE-2021-1342,CWE-121
CVE-2021-1343,CWE-121
CVE-2021-1344,CWE-121
CVE-2021-1345,CWE-121
CVE-2021-1346,CWE-121
CVE-2021-1347,CWE-121
CVE-2021-1348,CWE-121
CVE-2021-1337,CWE-121
CVE-2021-1336,CWE-121
CVE-2021-1335,CWE-121
CVE-2021-1334,CWE-121
CVE-2021-1333,CWE-121
CVE-2021-1332,CWE-121
CVE-2021-1331,CWE-121
CVE-2021-1330,CWE-121
CVE-2021-1353,CWE-401
CVE-2021-1261,CWE-77
CVE-2021-1260,CWE-77
CVE-2021-1262,CWE-77
CVE-2021-1263,CWE-77
CVE-2021-1301,CWE-119
CVE-2021-1300,CWE-119
CVE-2021-1299,CWE-20
CVE-2021-1298,CWE-77
CVE-2021-1279,CWE-119
CVE-2021-1278,CWE-119
CVE-2021-1274,CWE-119
CVE-2021-1273,CWE-119
CVE-2021-1233,CWE-20
CVE-2021-1241,CWE-119
CVE-2021-1131,CWE-119
CVE-2021-1307,CWE-787
CVE-2021-1360,CWE-787
CVE-2021-1146,CWE-77
CVE-2021-1159,CWE-787
CVE-2021-1160,CWE-787
CVE-2021-1161,CWE-787
CVE-2021-1162,CWE-787
CVE-2021-1163,CWE-787
CVE-2021-1164,CWE-787
CVE-2021-1165,CWE-787
CVE-2021-1166,CWE-787
CVE-2021-1167,CWE-787
CVE-2021-1168,CWE-787
CVE-2021-1169,CWE-787
CVE-2021-1170,CWE-787
CVE-2021-1171,CWE-787
CVE-2021-1172,CWE-787
CVE-2021-1173,CWE-787
CVE-2021-1174,CWE-787
CVE-2021-1175,CWE-787
CVE-2021-1176,CWE-787
CVE-2021-1177,CWE-787
CVE-2021-1178,CWE-787
CVE-2021-1179,CWE-787
CVE-2021-1180,CWE-787
CVE-2021-1181,CWE-787
CVE-2021-1182,CWE-787
CVE-2021-1183,CWE-787
CVE-2021-1190,CWE-787
CVE-2021-1191,CWE-787
CVE-2021-1200,CWE-787
CVE-2021-1201,CWE-787
CVE-2021-1202,CWE-787
CVE-2021-1203,CWE-787
CVE-2021-1204,CWE-787
CVE-2021-1205,CWE-787
CVE-2021-1217,CWE-787
CVE-2021-1224,CWE-269
CVE-2021-1223,CWE-269
CVE-2021-1189,CWE-787
CVE-2021-1184,CWE-787
CVE-2021-1185,CWE-787
CVE-2021-1186,CWE-787
CVE-2021-1187,CWE-787
CVE-2021-1188,CWE-787
CVE-2021-1192,CWE-787
CVE-2021-1193,CWE-787
CVE-2021-1194,CWE-787
CVE-2021-1195,CWE-787
CVE-2021-1196,CWE-787
CVE-2021-1197,CWE-787
CVE-2021-1198,CWE-787
CVE-2021-1199,CWE-787
CVE-2021-1206,CWE-787
CVE-2021-1207,CWE-787
CVE-2021-1208,CWE-787
CVE-2021-1209,CWE-787
CVE-2021-1210,CWE-787
CVE-2021-1211,CWE-787
CVE-2021-1212,CWE-787
CVE-2021-1213,CWE-787
CVE-2021-1214,CWE-787
CVE-2021-1215,CWE-787
CVE-2021-1216,CWE-787
CVE-2021-1158,CWE-79
CVE-2021-1157,CWE-79
CVE-2021-1156,CWE-79
CVE-2021-1155,CWE-79
CVE-2021-1154,CWE-79
CVE-2021-1153,CWE-79
CVE-2021-1152,CWE-79
CVE-2021-1151,CWE-79
CVE-2021-1150,CWE-77
CVE-2021-1149,CWE-77
CVE-2021-1148,CWE-77
CVE-2021-1147,CWE-77
CVE-2020-3284,NVD-CWE-noinfo
CVE-2020-3574,NVD-CWE-Other
CVE-2020-26070,CWE-404
CVE-2020-3459,CWE-78
CVE-2020-3455,NVD-CWE-Other
CVE-2020-3457,CWE-78
CVE-2020-3458,NVD-CWE-Other
CVE-2020-3299,NVD-CWE-Other
CVE-2020-3562,CWE-119
CVE-2020-3571,CWE-20
CVE-2018-0209,NVD-CWE-Other
CVE-2019-1950,CWE-1188
CVE-2019-1795,CWE-88
CVE-2019-1791,CWE-88
CVE-2019-1790,CWE-88
CVE-2019-1784,CWE-88
CVE-2019-1783,CWE-88
CVE-2019-1782,CWE-88
CVE-2019-1781,CWE-88
CVE-2020-3601,CWE-78
CVE-2020-3602,CWE-78
CVE-2020-3544,CWE-119
CVE-2020-3543,CWE-400
CVE-2019-1779,CWE-88
CVE-2019-1767,CWE-78
CVE-2019-1735,CWE-88
CVE-2019-1592,CWE-20
CVE-2019-1842,CWE-287
CVE-2019-1780,CWE-88
CVE-2019-1858,CWE-755
CVE-2019-1768,CWE-78
CVE-2019-1814,CWE-770
CVE-2019-1806,CWE-770
CVE-2019-1923,CWE-20
CVE-2019-1920,NVD-CWE-Other
CVE-2019-1873,CWE-20
CVE-2019-1839,CWE-78
CVE-2019-1968,CWE-116
CVE-2019-1967,CWE-400
CVE-2019-1966,NVD-CWE-noinfo
CVE-2019-1965,CWE-772
CVE-2020-3508,CWE-400
CVE-2019-1634,CWE-78
CVE-2019-1727,CWE-78
CVE-2019-1690,NVD-CWE-Other
CVE-2019-1686,NVD-CWE-Other
CVE-2019-1859,CWE-295
CVE-2019-1803,CWE-732
CVE-2019-1589,CWE-311
CVE-2019-1730,NVD-CWE-noinfo
CVE-2019-1729,CWE-347
CVE-2019-1726,CWE-78
CVE-2019-15262,CWE-404
