cve,product_name
CVE-2021-1534,asyncos
CVE-2021-34698,asyncos
CVE-2021-34710,ata_190_firmware
CVE-2021-34711,ip_conference_phone_7832_firmware
CVE-2021-34735,ata_190_firmware
CVE-2021-34776,business_220-8t-e-2g_firmware
CVE-2021-34777,business_220-8t-e-2g_firmware
CVE-2021-34775,business_220-8t-e-2g_firmware
CVE-2021-34778,business_220-8t-e-2g_firmware
CVE-2021-34779,business_220-8t-e-2g_firmware
CVE-2021-34780,business_220-8t-e-2g_firmware
CVE-2021-34788,anyconnect_secure_mobility_client
CVE-2021-34740,aironet_access_point_software
CVE-2021-1620,ios
CVE-2021-34769,ios_xe
CVE-2021-34727,ios_xe_sd-wan
CVE-2021-34725,ios_xe_sd-wan
CVE-2021-34770,ios_xe
CVE-2021-34768,ios_xe
CVE-2021-34714,fxos
CVE-2021-34724,ios_xe_sd-wan
CVE-2021-34767,ios_xe
CVE-2020-3479,ios
CVE-2020-3423,ios_xe
CVE-2020-3428,ios_xe
CVE-2021-1611,ios_xe
CVE-2021-34703,ios
CVE-2021-1565,embedded_wireless_controller
CVE-2016-1399,ios
CVE-2021-1621,ios_xe
CVE-2021-1623,ios_xe
CVE-2021-1624,ios_xe
CVE-2021-34696,ios_xe
CVE-2019-12657,ios_xe
CVE-2018-0315,ios_xe
CVE-2018-0177,ios_xe
CVE-2019-1904,ios_xe
CVE-2021-1622,ios_xe
CVE-2021-1615,embedded_wireless_controller
CVE-2021-1419,aironet_1542d_firmware
CVE-2020-3286,rv016_firmware
CVE-2021-34737,ios_xr
CVE-2021-34720,ios_xr
CVE-2021-34709,ios_xr
CVE-2021-34708,ios_xr
CVE-2021-1584,nx-os
CVE-2021-34722,ios_xr
CVE-2021-34721,ios_xr
CVE-2020-3283,firepower_threat_defense
CVE-2020-3244,staros
CVE-2020-3235,ios
CVE-2020-3228,nx-os
CVE-2020-3221,ios_xe
CVE-2020-3217,nx-os
CVE-2020-3262,5508_wireless_controller_firmware
CVE-2017-9521,dpc3939_firmware
CVE-2017-9492,dpc3939_firmware
CVE-2017-9491,dpc3939_firmware
CVE-2017-9476,dpc3939_firmware
CVE-2021-1450,anyconnect_secure_mobility_client
CVE-2018-0387,webex_teams
CVE-2021-1592,unified_computing_system
CVE-2021-1591,nx-os
CVE-2021-1590,nx-os
CVE-2021-1588,nx-os
CVE-2021-1587,nx-os
CVE-2021-1586,nx-os
CVE-2021-1523,nx-os
CVE-2021-1513,vsmart_controller_firmware
CVE-2021-1514,vsmart_controller_firmware
CVE-2021-34730,rv110w_wireless-n_vpn_firewall_firmware
CVE-2020-3191,asa_5505_firmware
CVE-2020-3195,asa_5505_firmware
CVE-2020-3161,ip_phone_8865_firmware
CVE-2020-3188,asa_5505_firmware
CVE-2020-3189,asa_5505_firmware
CVE-2021-1610,small_business_rv_series_router_firmware
CVE-2021-1609,small_business_rv_series_router_firmware
CVE-2021-1602,small_business_rv_series_router_firmware
CVE-2020-3453,rv340w_firmware
CVE-2020-3465,ios_xe
CVE-2020-3426,ios
CVE-2020-3429,ios_xe
CVE-2020-3452,adaptive_security_appliance
CVE-2020-3451,rv340w_firmware
CVE-2020-3390,ios_xe
CVE-2020-3393,ios_xe
CVE-2020-3397,nx-os
CVE-2020-3398,nx-os
CVE-2020-3363,sg250x-24_firmware
CVE-2020-3368,asyncos
CVE-2020-3357,rv340_dual_wan_gigabit_vpn_router_firmware
CVE-2020-3358,rv340_dual_wan_gigabit_vpn_router_firmware
CVE-2020-3359,ios_xe
CVE-2020-3360,unified_ip_phone_6901_firmware
CVE-2020-3287,rv016_firmware
CVE-2020-3288,rv016_firmware
CVE-2020-3289,rv016_firmware
CVE-2020-3290,rv016_firmware
CVE-2020-3291,rv016_firmware
CVE-2020-3292,rv016_firmware
CVE-2020-3293,rv016_firmware
CVE-2020-3294,rv016_firmware
CVE-2020-3295,rv016_firmware
CVE-2020-3296,rv016_firmware
CVE-2020-3323,rv110w_wireless-n_vpn_firewall_firmware
CVE-2020-3338,nx-os
CVE-2021-1422,adaptive_security_appliance_software
CVE-2021-1373,ios_xe
CVE-2021-1598,video_surveillance_7530pd_firmware
CVE-2021-1597,video_surveillance_7530pd_firmware
CVE-2021-1596,video_surveillance_7530pd_firmware
CVE-2021-1595,video_surveillance_7530pd_firmware
CVE-2021-1564,video_surveillance_7530pd_firmware
CVE-2021-1563,video_surveillance_7530pd_firmware
CVE-2021-1539,staros
CVE-2021-1540,staros
CVE-2021-1414,rv340_firmware
CVE-2021-1413,rv340_firmware
CVE-2021-1415,rv340_firmware
CVE-2021-1548,wap125_firmware
CVE-2021-1549,wap125_firmware
CVE-2021-1552,wap125_firmware
CVE-2021-1551,wap125_firmware
CVE-2021-1550,wap125_firmware
CVE-2021-1555,wap125_firmware
CVE-2021-1554,wap125_firmware
CVE-2021-1553,wap125_firmware
CVE-2021-1547,wap125_firmware
CVE-2021-1521,video_surveillance_8400_firmware
CVE-2021-1401,wap125_firmware
CVE-2021-1400,wap125_firmware
CVE-2021-1516,content_security_management_appliance
CVE-2021-1511,vedge_100_firmware
CVE-2021-1510,vedge_100_firmware
CVE-2021-1509,vedge_100_firmware
CVE-2021-1402,firepower_threat_defense
CVE-2021-1488,adaptive_security_appliance
CVE-2021-1448,firepower_threat_defense
CVE-2021-1489,firepower_device_manager
CVE-2021-1495,ios_xe
CVE-2021-1473,rv340_firmware
CVE-2021-1472,rv160_firmware
CVE-2021-1459,rv110w_firmware
CVE-2017-3832,wireless_lan_controller
CVE-2020-3552,wireless_lan_controller
CVE-2020-3560,wireless_lan_controller_software
CVE-2021-1308,rv132w_firmware
CVE-2021-1251,rv132w_firmware
CVE-2021-1309,rv132w_firmware
CVE-2021-1451,ios_xe
CVE-2021-1437,aironet_access_point_software
CVE-2021-1439,aironet_access_point_software
CVE-2021-1449,aironet_access_point_software
CVE-2021-1452,ios_xe_rom_monitor
CVE-2021-1460,ios
CVE-2021-1287,rv132w_firmware
CVE-2021-1367,nx-os
CVE-2021-1230,nx-os
CVE-2021-1228,nx-os
CVE-2021-1368,nx-os
CVE-2021-1229,nx-os
CVE-2021-1387,nx-os
CVE-2021-1268,ios_xr
CVE-2021-1389,ios_xr
CVE-2021-1136,ios_xr
CVE-2021-1244,ios_xr
CVE-2021-1295,rv160w_wireless-ac_vpn_router_firmware
CVE-2021-1294,rv160w_wireless-ac_vpn_router_firmware
CVE-2021-1293,rv160w_wireless-ac_vpn_router_firmware
CVE-2021-1292,rv160w_wireless-ac_vpn_router_firmware
CVE-2021-1291,rv160w_wireless-ac_vpn_router_firmware
CVE-2021-1290,rv160w_wireless-ac_vpn_router_firmware
CVE-2021-1289,rv160w_wireless-ac_vpn_router_firmware
CVE-2021-1297,rv160w_wireless-ac_vpn_router_firmware
CVE-2021-1296,rv160w_wireless-ac_vpn_router_firmware
CVE-2021-1314,rv016_multi-wan_vpn_router_firmware
CVE-2021-1315,rv016_multi-wan_vpn_router_firmware
CVE-2021-1316,rv016_multi-wan_vpn_router_firmware
CVE-2021-1317,rv016_multi-wan_vpn_router_firmware
CVE-2021-1318,rv016_multi-wan_vpn_router_firmware
CVE-2021-1320,rv016_multi-wan_vpn_router_firmware
CVE-2021-1329,rv016_multi-wan_vpn_router_firmware
CVE-2021-1328,rv016_multi-wan_vpn_router_firmware
CVE-2021-1325,rv016_multi-wan_vpn_router_firmware
CVE-2021-1326,rv016_multi-wan_vpn_router_firmware
CVE-2021-1327,rv016_multi-wan_vpn_router_firmware
CVE-2021-1324,rv016_multi-wan_vpn_router_firmware
CVE-2021-1323,rv016_multi-wan_vpn_router_firmware
CVE-2021-1322,rv016_multi-wan_vpn_router_firmware
CVE-2021-1321,rv016_multi-wan_vpn_router_firmware
CVE-2021-1319,rv016_multi-wan_vpn_router_firmware
CVE-2021-1338,rv016_multi-wan_vpn_router_firmware
CVE-2021-1339,rv016_multi-wan_vpn_router_firmware
CVE-2021-1340,rv016_multi-wan_vpn_router_firmware
CVE-2021-1341,rv016_multi-wan_vpn_router_firmware
CVE-2021-1342,rv016_multi-wan_vpn_router_firmware
CVE-2021-1343,rv016_multi-wan_vpn_router_firmware
CVE-2021-1344,rv016_multi-wan_vpn_router_firmware
CVE-2021-1345,rv016_multi-wan_vpn_router_firmware
CVE-2021-1346,rv016_multi-wan_vpn_router_firmware
CVE-2021-1347,rv016_multi-wan_vpn_router_firmware
CVE-2021-1348,rv016_multi-wan_vpn_router_firmware
CVE-2021-1337,rv016_multi-wan_vpn_router_firmware
CVE-2021-1336,rv016_multi-wan_vpn_router_firmware
CVE-2021-1335,rv016_multi-wan_vpn_router_firmware
CVE-2021-1334,rv016_multi-wan_vpn_router_firmware
CVE-2021-1333,rv016_multi-wan_vpn_router_firmware
CVE-2021-1332,rv016_multi-wan_vpn_router_firmware
CVE-2021-1331,rv016_multi-wan_vpn_router_firmware
CVE-2021-1330,rv016_multi-wan_vpn_router_firmware
CVE-2021-1353,staros
